# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-02-02T00:00:00.000Z,1.65,14.07,5.95,2.7,10.14,3.793,145
2023-02-03T00:00:00.000Z,1.38,2.92,1.9,1.7,2.13,0.331,126
2023-02-04T00:00:00.000Z,1.2,25.52,2.15,1.83,2.94,4.939,561
2023-02-05T00:00:00.000Z,1.5,12.45,2.54,2.02,4.4,2.75,497
2023-02-06T00:00:00.000Z,2.85,18.64,7.75,5.05,11.05,3.86,460
2023-02-07T00:00:00.000Z,6.07,23.17,10.68,9.07,13.7,3.047,487
2023-02-08T00:00:00.000Z,5.75,31.98,15.35,12.63,18.35,4.54,434
2023-02-09T00:00:00.000Z,2.58,24.67,16.6,13.5,19.89,5.46,478
2023-02-10T00:00:00.000Z,2.1,9.3,3.58,3.17,4.32,1.269,520
2023-02-11T00:00:00.000Z,1.85,11.45,4.65,3.35,6.55,1.84,463
2023-02-12T00:00:00.000Z,1.1,30.02,2.42,2.1,4.68,2.107,551
2023-02-13T00:00:00.000Z,1.52,4.3,2.5,2.29,2.75,0.359,419
2023-02-14T00:00:00.000Z,2.5,18.98,6.68,3.78,10.16,4.684,481
2023-02-15T00:00:00.000Z,16.7,29.55,21.44,19.67,23.77,2.468,442
2023-02-16T00:00:00.000Z,18.98,59.05,37.67,29.7,46.83,9.548,447
2023-02-17T00:00:00.000Z,2.4,44.28,5.43,3.5,27.5,14.031,410
2023-02-18T00:00:00.000Z,1.6,7.07,3,2.54,3.42,0.654,552
2023-02-19T00:00:00.000Z,1.2,4.75,2.1,1.88,2.35,0.41,461
2023-02-20T00:00:00.000Z,1.52,8.23,4.22,3.13,4.97,1.376,553
2023-02-21T00:00:00.000Z,1.6,9.9,3.69,2.91,4.8,1.319,548
2023-02-22T00:00:00.000Z,1.4,5.03,2.1,1.9,2.52,0.567,443
